1	business_481	1
1	business_445	1
1	business_345	1
2	business_450	1
2	business_354	1
2	business_298	1
3	business_476	1
3	business_017	1
3	business_081	1
4	business_435	1
4	business_431	1
4	business_210	1
5	entertainment_337	1
5	entertainment_053	1
5	entertainment_311	1
6	entertainment_308	1
6	entertainment_165	1
6	entertainment_225	1
7	entertainment_091	1
7	entertainment_256	1
7	entertainment_229	1
8	entertainment_266	1
8	entertainment_163	1
8	entertainment_085	1
9	politics_153	1
9	politics_003	1
9	politics_338	1
10	politics_398	1
10	politics_229	1
10	politics_317	1
11	politics_412	1
11	politics_176	1
11	politics_145	1
12	politics_095	1
12	politics_295	1
12	politics_279	1
13	sport_125	1
13	sport_429	1
13	sport_437	1
14	sport_085	1
14	sport_358	1
14	sport_218	1
15	sport_434	1
15	sport_350	1
15	sport_056	1
16	sport_256	1
16	sport_508	1
16	sport_352	1
17	tech_286	1
17	tech_059	1
17	tech_108	1
18	tech_282	1
18	tech_210	1
18	tech_007	1
19	tech_034	1
19	tech_135	1
19	tech_305	1
20	tech_212	1
20	tech_011	1
20	tech_384	1
